*	name	GSL09
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
easy	"*容易な*
 (ふつうeasyは人を主語にとらない)
 (This book is easy for me to read.)
 （ただし下記の語法はある）
 （He is easy to decieve.だましやすい)
 
 （参*考* Take it easy. は意味が多い）
 （じゃあね｡がんばって｡のんびりね｡
 まあまあ 興奮しないで｡）"
threaten	(を)脅迫する
post	"(英)郵便
 (英)ポストに入れる
 
 （米では mail）"
on	"・・*の上に*（基本義:接触)
 ・・*に*（時間基本義:固定)
 
 (文法・辞書を必読）"
persuade	を説得する
evening	晚､夕刻
spit	"つばを吐く
 つば
 
 (spit, spat, spat)"
curtain	カーテン
double	"２倍の(量)
 ２倍にする
 ２倍になる"
entertain	を楽しませる
flower	"花（主に草花）
 
 (果樹の花はblossom)"
suck	"を吸う 
 吸う"
silk	絹
cough	"せき
 せきをする
 
 （He has a bad cough. 
 ひどいせき）"
extensive	広範囲に渡る
pin	"ピン(留め針)
 ピンで留める"
thing	もの､こと
