*	name	AWL03
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
impose	"を課する
 -
 （↓高頻度語）
 （imposed）"
definite	明確な
primary	"第一の・主要な
 初歩の
 根本の"
strategy	"戦略
 -
 （↓高頻度語）
 （strategies）"
scope	（理解･能力･活動など)の範囲
fundamental	根本的な
community	"共同社会
 -
 (the community 地域社会)"
accurate	正確な
consist	"*から成る* (of)
 *にある* (in)
 (Happiness consists in contentment.) 
 (幸福は満足にあり)
 -
 （↓高頻度語）
 （consistent 首尾一貫した）"
transform	"を一変させる
 -
 （↓高頻度語）
 （transformation 変形）"
adequate	"に適する
 間に合う(to)"
corporate	"会社の
 団*体*の"
subordinate	"下位の・従属の
 従属させる
 従属者"
overall	全体的な
voluntary	自発的な
"license
 (英綴り licence)"	許可
illustrate	"例証する
 挿絵を入れる
 -
 （↓高頻度語）
 （illustrated）"
sole	"唯一の
 (onlyの堅い語)
 -
 （↓高頻度語）
 （solely 単独で）"
chapter	"しょう(章)
 (歴史上)一時期
 (米：地方の支部)"
evaluate	"評価する
 -
 （↓高頻度語）
 （evaluation 評価）"
site	"用地､現場
 サイト"
mechanism	"機械
 仕組み"
conceive	"*を思いつく*
 *妊娠する*
 -
 （↓高頻度語）
 （conceived）
 -
 (conceive 新しく心の中に作り出す)
 (perceive 存在している物に気づく)"
discriminate	"を区別する
 -
 （↓高頻度語）
 （discrimination 区別）"
culture	"文化
 教養
 栽培
 -
 （↓高頻度語）
 （cultural 文化の､教養の）"
mediate	"*仲介をする*
 -
 （↓高頻度語）
 （mediation 仲裁）"
cycle	周期
rigid	"硬直した
 厳格な"
lecture	"（名動 同発音）
 講義
 講義する"
federal	連邦の
medium	"手段
 中間
 中間の"
colleague	"(知的職業の) *同僚*
 (一般語はco-worker)
 -
 （↓高頻度語）
 （colleagues）"
confirm	"を確認する
 -
 （↓高頻度語）
 （confirmed）"
technique	"*技巧*
 -
 （↓高頻度語）
 （techniques）"
investigate	"を調査する
 (研究する)
 -
 （↓高頻度語）
 （investigation 調査）"
implement	"実行する
 -
 （↓高頻度語）
 (implementation 実行)"
income	収*入*
grade	"等級
 (米 学年 1-12)
 格付けする"
presume	"推定する
 -
 （↓高頻度語）
 （presumption 推定）"
despite	にもかかわらず
domestic	"家庭の
 国内の"
output	生産高
obvious	明白な
crucial	"重大な・重要な
 決定的な"
invoke	"*法的に行使する*
 *引き合いに出す*
 *引き起こす*
 *祈願する*
 -
 （↓高頻度語）
 （invoked）"
incentive	"刺激
 (報奨金)"
passive	"受け身の
 消極的な"
manipulate	"巧みに扱う
 -
 （↓高頻度語）
 （manipulation）
 （巧みな操り）
 （操作・細工・ごまかし）"
chemical	"科学の
 -
 (chemicals 化学製品・薬品)"
automate	"*自動化する*
 -
 （↓高頻度語）
 (automatically 自動的に)"
paragraph	段落
"*status*
 (機械発音は'stætәsで
 米国固有。
 米英とも'steitәs で可)"	"-
 地位
 状態"
secure	"安全な
 手に入れる・確保する
 守る
 -
 （↓高頻度語）
 （security）
 （安全・警備・保障）"
image	像
conform	"社会慣習などに従う(to)
 -
 （↓高頻度語）
 （conformity 順応）"
derive	"*由来する* (from)
 *得る*
 (He derived great pleasure from painting.)
 -
 （↓高頻度語）
 （derived）"
phenomenon	"現象
 (複数はphenomena)"
enhance	"*高める*
 -
 （↓高頻度語）
 （enhanced）"
react	"反応する
 (反動する)
 -
 （↓高頻度語）
 （reaction） 
 （反応､反動）"
institute	"（機械発音のｱｸｾﾝﾄも
 辞書にはあるが､OALD辞書では
 名動 同発音 'ɪnstɪtju:t ）
 -
 *研究所*、
 *を設立する*"
infer	"と推論する
 -
 （↓高頻度語）
 （inferred）"
manual	"手引書
 手でする"
credit	"*信頼・信用*
 を信じる
 -
 （派生して多義がある）
 (つけ､預金､融資､貸方､名誉)"
extract	"抜き取る
 抜粋する"
contrary	"反対の
 逆
 -
 (on the contrary
 会話：それどころか)"
negate	"を否定する
 -
 （↓高頻度語）
 （negative）
 （否定の・消極的な）"
energy	"エネルギー
 (活力)"
style	"様*式*
 型
 -
 （↓高頻度語）
 （styles）"
advocate	"(名詞発音 ǽdvәkit)
 提唱者
 -
 （注意）
 (動詞発音 ǽdvәkeit)
 （主張する）"
feature	"特徴
 容貌
 特集
 -
 （↓高頻度語）
 （features）"
nuclear	"核の
 原子力の"
diminish	"*を減らす*
 減少する
 -
 （↓高頻度語）
 （diminished）"
subsequent	"すぐあとに
 起こる"
volume	"*量* (容積・音量)
 かん(巻)"
normal	正常な
immigrate	"*外*国*から移住する*
 -
 （↓高頻度語）
 （immigration）
 （外国からの移住）
 -
 (注:他国への移住はemigration)"
notion	"考え
 思い付き"
predominant	"優勢な
 -
 （↓高頻度語）
 （predominantly 優勢に)"
contract	"*契約* 
 -
 （動詞発音は kәntrǽct）
 （契約する）
 （縮まる・縮める）
 （病気に罹る）
 -
 （文法:contraction 短縮 I'm）"
relax	"*緩める*
 -
 （↓高頻度語）
 （relaxed くつろいだ）"
challenge	"挑戦 (挑戦する)
 (注意 ： 軽い挑戦は try )
 -
 (Longman辞書：
 to invite someone to fight against you, 
 or to try to win something)"
goal	"ゴール
 目標
 -
 （↓高頻度語）
 （goals）"
couple	"二つ
 夫婦
 連結する"
equate	"同一視する
 -
 （↓高頻度語）
 （equation 方程式）"
conduct	"行う
 指揮する
 導く
 -
 （名詞発音は'kɑndʌkt）
 （行為）"
abandon	"見捨てる
 放棄する"
structure	"構造
 建造物"
hierarchy	"階層制
 -
 （↓高頻度語）
 （hierarchical）
 （階層制の）"
orient	"（名動 同発音）
 東洋(the Orient)
 方向づける
 -
 （↓高頻度語）
 （orientation 入門指導）"
publication	"出版
 出版物
 発表"
aware	"に気づいている
 (be aware of)
 (be aware that)"
odd	"奇妙な
 奇数の
 余りの"
relevant	関連性のある
persist	"*堅く守る*
 *やり通す*
 (He persisted in his belief. 固執した)
 -
 （↓高頻度語）
 （persistent）
 （しつこい・永続的な）"
bias	"*先入*観
 偏り
 偏見を持つ"
notwithstanding	"にも拘わらず
 (それでも)"
migrate	"回遊する(動物)
 (移住する(人間))
 -
 （↓高頻度語）
 （migration ）
 （鳥や魚の回遊）"
priority	優先
nonetheless	それにもかかわらず
transmit	"(発音は米英共 
 træns-'mɪt, trænz-'mɪt 両方ある)
 -
 を送る 
 を伝える
 -
 （↓高頻度語）
 （transmission 伝達）"
furthermore	その上さらに
criteria	"*標準*・*基準*
 （criterionの複数)"
principle	"原理
 主義
 本質"
deduce	"*推論する*(演繹する)
 -
 （↓高頻度語）
 （deduction）
 （差し引き・控除、演繹法）
 -
 （参考:演繹法とは正しいとされる
 一般的原理から個々の事柄を
 推論する方法)"
