*	name	GSL05
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
keep	"をずっと持っておく( 基本義)
 にしておく
 を飼う
 を守る
 し続ける
 (keep, kept, kept)
 
 (多義、辞書を必読)"
always	いつも
hurt	"を傷つける
 痛む
 傷
 
 (hurt, hurt, hurt)"
company	"同席
 仲間
 会社"
some	"いくつかの
 一部の
 ある
 (Some boy broke the window.)"
qualify	"に資格を与える
 資格を得る"
prison	刑務所
cattle	"家畜の牛
 （集合名詞）
 （複数扱い）"
argue	(を)議論する
common	"共通の
 ふつうの"
handwriting	"筆跡
 手書き"
inventor	発明家
human	"人間の
 人間"
sale	"販売
 特売
 売上高(sales)"
uppermost	最上位の
efficiency	"能率
 効率"
age	"*年*令
 時期
 （歳をとる）
 （老けさせる）"
extent	範囲
deep	深い
instant	"即時の
 瞬間"
direction	"方向
 指示
 指導"
handshake	握手
organize	を組織する
list	"*表*
 を一覧表にする
 
 （His name is not listed here.)"
cautious	用心深い
tongue	舌
grow	"大きくなる
 成長する
 （を栽培する）
 
 (grow, grew, grown)"
dinner	"主な食事
 晩餐会"
next	次の(に)
knot	結び目
ring	"指輪、輪
 
 （異議語）
 鳴る､を鳴らす
 鳴る音
 (ring, rang, rung)"
contain	を含む
cream	クリーム
slave	奴隷
board	"*板*(基本義)
 （食事）
 （委員会 ）
 （に乗船する）"
slippery	滑りやすい
ticket	切符
advertise	(を)広告する
suggestion	"提案
 示唆"
I	私
loosen	"を緩める
 緩む"
revenge	"に復讐する
 復讐"
ache	"痛み、 痛む
 
 (I have a slight headache. 軽い頭痛)
 
 (toothache:歯痛､stomachache:胃痛)
 (bellyache:腹痛､backache:背・腰痛)"
eager	"を切望している
 （熱心な）"
leaf	木の葉
worth	に値する
freeze	"を凍らせる
 凍る
 (freeze, froze, frozen)
 
 （重要注意：Freeze!）
 (動くな､動くと撃つぞ)"
can	"・・*することができる*
 ・・*してもよい*
 ・・*のはずがない*(否定)
 
 (助動詞：文法･辞書を必読)
 (基本義：｢実現可能性の判断｣ から
  能力・許可・依頼・申し出・疑惑 など)
 
 *缶詰*､*缶*（異義語）
 (a can of beer)"
temperature	温度
inward	"内側の
 内側へ"
sharp	"鋭い
 急な"
ornament	"装飾品
 を飾る"
lose	"を失う､を見失う
 (に)負ける
 （時計が遅れる）
 (loose, lost. lost)
 
 （a lost child 迷子）"
step	"あゆみ(基本義)、手段
 歩きぶり (足音､足跡)
 歩くところ (段階､階段)
 (屋外の階段はsteps)
 一歩一歩歩く"
broad	幅が広い
offend	"の感情を害する
 を怒らせる
 罪を犯す"
faith	"信頼
 信用
 信仰"
factory	工場
box	箱
sick	病気の
hinder	を妨げる
repetition	繰り返し
figure	"人の姿､(人物)
 (図形)
 (数字)"
quality	質
descend	(を)下る
loose	緩い
decrease	"減少する
 を減らす
 （名詞 減少 の発音は
 'di-kri:s）"
deliver	"を配達する
 (意見を述べる)"
neighbor	近所の人
cross	"十字架
 (を)横切る
 交差した"
century	世紀 (100年)
disgust	"*いやけ*、*むかつき*
 をいやにならせる
 をむかつかせる"
type	"型、典型
 (を)タイプする"
attraction	"魅力
 呼び物"
