*	name	瞬間英作文おかわり1-01to10
*	media-dir	0
*	description	0
*	notes	0
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
彼らは誰ですか? 彼のいとこたちです。	Who are they? They are his cousins.
あの男の人は誰ですか? メアリーのお父さんです。	Who is that man? He is Mary's father.
あの少女は誰ですか? (あれは)エミリーです。	Who is that girl? That is Emily.
あの少年は誰ですか? 僕の弟です。	Who is that boy? He is my brother.
あの男性達は誰ですか? この学校の先生たちです。	Who are those men? They are teachers at (of) this school.
あの女性達は誰ですか? 私の母と姉です。	Who are those women? They are my mother and my sister.
この写真の中の男性は誰ですか? 彼女のお祖父さんです。	Who is the man in this picture? He is her grandfather.
あの美しい女性たちは誰ですか? ブラウンさんのお嬢さんたちです。	Who are those beautiful women? They are Mr. Brown's daughters.
すぐ起きなさい。	Get up at once.
明日の朝彼女に電話しなさい。	Call her tomorrow morning.
恥ずかしがらないで。	Don't be shy.
あなたのおもちゃを片付けなさい。	Put away your toys.
遅刻しなさんな。	Don't be late.
女の子には優しくしなさい。	Be kind to girls.
車に乗ろう。	Let's get in the car.
このレストランで夕食を食べよう。	Let's have dinner at this restaurant.
今夜は楽しもう。	Let's have fun tonight.
電車で行こうよ。	Let's go by train.
これは誰の家ですか? カーターさんの家です。	Whose house is this? It's Mr. Carter's house.
あれは誰の傘ですか? 私のです。	Whose umbrella is that? It's mine.
この辞書はだれのですか? トムのです。	Whose is this dictionary? It's Tom's.
あのコンピュータは誰のですか? エレンのです。	Whose is that computer? It's Ellen's.
これは誰の靴ですか? 彼女のです。	Whose are these shoes? They are hers.
あの大きな車は誰のですか? 私たちのです。	Whose is that big car? It's ours.
これは誰の席ですか? あなたのですよ。	Whose seat is this? It's yours.
あれらは誰のカメラですか? 僕の父のです。	Whose cameras are those? They are my father's.
あの指輪は誰のですか? ルーシーのです。	Whose ring is that? It's Lucy's.
あれらのおもちゃは誰のですか? 私の息子のです。	Whose are those toys? They are my son's.
私の車はどこですか?	Where is my car?
あなたの奥さんはどこですか?	Where is your wife?
トムはどこに住んでいますか?	Where does Tom live?
彼らはどこで昼食を食べますか?	Where do they have lunch?
彼は毎日どこに行くのですか?	Where does he go every day?
あの少年たちはどこで野球をしますか?	Where do those boys play baseball?
あなたのご主人は毎朝どこでジョギングをしますか?	Where does your husband jog every morning?
あなたのお嬢さんはどこにいますか? パリにいます。	Where is your daughter? She is in Paris.
あなたはどちらの出身ですか? 東京です。	Where are you from? I'm from Tokyo.
あなたのご両親はどちらのご出身ですか? 大阪です。	Where do your parents come from? They come from Osaka.
あなたの誕生日はいつですか?	When is your birthday?
あなたの奥さんの誕生日はいつですか?	When is your wife's birthday?
ジョンはいつ宿題をしますか?	When does Jhon do his homework?
トムはいつ彼らに会うのですか?	When does Tom see them?
打ち合わせはいつですか?	When is the meeting?
君の妹はいつピアノの練習をするの?	When does your sister practice the piano?
あの子供たちはいつ勉強をしますか?	When do those children study?
そのお祭りはいつですか?	When is the festival?
彼女はいつ両親に電話しますか?	When does she call her parents?
彼女はいつ詩を書くのですか?	When does she write poems?
どちらがあなたの車ですか?	Which is your car?
どの自転車が彼のですか?	Which bicycle is his?
どちらが彼女のかばんですか、こちらですかそれともあちらですか?	Which is her bag, this one or that one?
ピーターはどのコンピュータを使いますか? これを使います。	Which computer does Peter use? He uses this one.
どれがナンシーの家ですか?	Which is Nancy's house?
どちらの犬が彼のですか?	Which dog is his?
どちらの辞書があなたのですか、こちらですかそれともあちらですか?	Which dictionary is yours, this one or that one?
どのギターをトムは弾きますか? あの古いのを弾きます	Which guitar does Tom play? He plays that old one.
どの問題が難しいですか?	Which problem is difficult?
どの本があなたは欲しいですか?	Which book do you want?
