*	name	Duo3.0 Sentence
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
実は、住民たちは放射能にさらさせてきた。	In fact, the inhabitants have been exposed to radiation.
核エネルギーの潜在的な危険性は､いくら強調してもし過ぎるということはない。	One cannot emphasize too much the potential danger of nuclear energy.
過去数年間その問題を見過ごしていた報道機関が､今ではどちらかと言えばそのことを重視し過ぎている。	For years the press overlooked the problem. But now, if anything, they are making too much of it.
穀物を栽培するだけでなく、その農業経営者は食料雑貨店も経営している。	As well as cultivating grain, the farmer runs a grocery store.
その研究所は1960年代後半に設立された。	The research institute was established in the late 1960s.
スターさんに直接相談したらどうですか？ この辺りでは文句なしでいちばん有名な弁護士ですよ。	Why don't you consult Starr in person? He 's by far the most prominent attorney around here.
念のためメモしておきます。記憶力が悪いから。	I'll write it down just in case, because I have a bad memory.
弁護士は依頼人に、保険会社に対して法的手段を取る事を勧めた。	The lawyer recommended that his client take legal action against the insurance company.
彼らには、けがに対する補償を受ける権利がある。	They are entitled to be compensated for their injuries.
インフルエンザの流行で、現在までに200人もの人が亡くなっている。	So far, no less than 200 people have died of the flu epidemic.
それらの錠剤の効果は強烈だが持続性はない。	The effect of those pills is intense but brief.
彼は爪を噛む癖がある。あれには本当にぞっとするよ。	He has a habit of biting his nails. It's absolutely disgusting.
うちの息子を抱こうとしてかがんだときに、おばあちゃんは腰を痛めた。	My grandma strained her back when she bent down to hug my son.
肩が凝るなら、薬草治療を試してごらんよ。	If you have a stiff neck, try an herbal remedy.
医学の飛躍的発展は人類全体に多大な恩恵をもたらしてきた。	Medical breakthroughs have brought about great benefits for humanity as a whole.
クローン技術は人間にはもちろん､牛にも応用してはいけない。 絶対にしてはならないことだ。	We can't apply cloning techniques to cattle, let alone human beings. It's forbidden.
鯨は哺乳動物に分類される。	Whales are classified as mammals.
進化論は私の想像力の範囲を超えている。	The theory of evolution is beyond the reach of my imagination.
その生物学者は自分の歴史的発見に誇りをもっており、そのことを臆することなく口に出す。	The biologist is proud of his historic discovery and doesn't mind boasting about it.
倫理的な理由から、彼らはいわゆる遺伝子治療に反対している。	On ethical grounds, they are opposed to so-called gene therapy.
その病気の初期症状は高熱と喉の痛みです。	The initial symptoms of the disease are fever and a sore throat.
脳の構造は複雑だ。	The structure of the brain is complex.
病気のために年次会議を欠席した代表者もいた。	Owing to illness, some representatives were absent from the annual conference.
私の娘婿は徐々に胃癌を克服しつつあり、今は明るく元気だ。	Little by little, my son-in-law is recovering from stomach cancer, and now he is in good spirits.
「これって偽物だろう？」 「何言ってるの。本物の骨董品よ。」 「まさか！」	"This is fake, isn't it?"" ""Hey, it's a genuine antique."" ""No way!"""
「ほかにご注文は?」「こちらでお召し上がりですか？」「持ち帰ります。」	"Anything else? ""That's it."" ""For here or to go?"" ""To go."""
「この敷物はおいくらですか?」「税込みで100ドルです」「じゃあ、これにします。」	"How much is this rug? ""$100 including tax."" ""OK, I'll take it."""
そのパンツはあなたには似合わないと思う。こっちをはいてみて。今すごく流行っているのよ。	I don't think those pants look good on you. Try these on. They're really in now!
彼は「おつりはいいです」と言って、急いでタクシーを降りた。	"He got out of the cab in haste, saying, ""Keep the change."""
当店のお客様は､わずかな追加料金で配達サービスをご利用できます。	Delivery service is available to our customers for a slight extra charge.
「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっているし。」 「うーん、わかった。じゃあ割り勘にしよう。」	"It's on me. ""No. You treat me every time we eat out."" ""Well, okay. Let's split the check then."""
ショッピングセンターをぶらぶらしていたら、偶然ケンに会った。	While I was hanging out at the mall, I ran into Ken.
現金が足りなかったので、先週口座に入れた1000ドルを引き出した。	I was short of cash, so I withdrew the $100 that I had deposited in my bank account last week.
彼女は帰宅途中にハンドバッグを盗まれた。	On her way home she was robbed of her purse.
「それは変だわ。どうしてそんなことが起きたのか教えて。」 「後で説明するよ。」	"That's odd! Tell me how it happened. ""I'll explain it to you later."""
私が約束を破ったので、罰として両親に門限を６時にされた。	My parents gave me a 6 pm curfew as a punishment because I broke my promise.
諺にある通り、「嘘も方便 （目的が手段を正当化する）」。	"As the proverb goes, ""The end justifies the means."""
誰も頼れる人がいないとわかったのだから、自分の力でやっていくしかない。	Now that I've found that there's no one to turn to, I'll have to stand on my own two feet.
議長は私の話を遮って、「話し合いはここまでにして決を採りましょう。」と言った。	"The chairman cut me off, saying, ""Time to wind things up. Let's take a vote."""
我々は会議で率直な意見を交わしたが、この件に関してはまだ全体の意見がまとまらない。	We exchanged frank opinions in the meeting, but consensus is yet to be reached regarding this matter.
「あなたは彼と同じ意見？ それとも違うの？」「彼のほうを支持するよ。」	"Do you agree or disagree with him? ""I'm on his side."""
厳密に言えば、彼の見解は私のものとはいくらか異なる。	Strictly speaking, his view differs somewhat from mine.
もう一度詳しく説明していただけませんか？ お話の意図がわかりませんでした。	Could you go over it again? I couldn't make out what you were getting at.
僕の案を支持してくれる人は最初は誰もいなかったけれど、最後にはみんなを説得して賛同してもらうことができた。	No one backed me up at first, but eventually I talked everyone into going along with my plan.
君の不屈の努力、勇気、そして知恵には感心するよ。」「お世辞でもうれしいわ！」	"I admire your perseverance, courage and wisdom. ""You flatter me!"""
どうするかを決めるとき、僕は論理ではなく本能を当てにする。	In making a decision, I rely not on logic but on instinct.
彼は独創的かつ賢明な解決策を考え出し、直ちにそれを実行に移した。	He came up with an ingenious, sensible solution and immediately put it into practice.
客観的に見れば、前者は後者よりも劣っている。	From an objective viewpoint, the former is inferior to the latter.
あなたの考えは理論上はすばらしそうだけれども、実際には機能しないと思います。	Your idea sounds marvelous in theory, yet I don't think it will work in practice.
私たちは彼が相手に勝つことを期待したが、彼はその期待に応えられなかった。	We expected him to defeat his opponent, but he failed to live up to our expectations.
皮肉なことだが、彼らの最善の努力にもかかわらず、任務は完全な失敗に終わった。	Ironically, despite their best endeavors, their mission resulted in complete failure.
実地経験の不足は彼女の天賦の才能で補える。	Her genius makes up for her lack of firsthand experience.
彼女にはどんな障害をも克服できるすばらしい能力がある。	She possesses a great capacity for overcoming any obstacle.
あなたの強固な支援がなかったら、その取引は成立しなかったでしょう。感謝しています。	Without your solid support, the deal would have fallen through. I'm grateful to you.
機内への可燃物の持ち込みは禁止されています。	Bringing flammable items into the cabin is prohibited.
ちょっとした事故が原因で、私たちのウィーン行きの便に遅れが出た。	Our flight to Vienna was delayed on account of a minor accident.
飛行機が爆発して海に墜落し、乗っていた全員が死亡した。	The plane blew up and plunged into the ocean, killing all the people on board.
彼らは昼夜休むことなく、その墜落事故の原因を調査している。	They are working around the clock looking into the cause of the crash.
不幸にも、その大惨事で生き残った乗客はほとんどいなかった。	Unfortunately, few passengers survived the catastrophe.
航空評論家が統計を詳細に分析した。	The aviation expert analyzed the statistics in detail.
全従業員を代表いたしまして、犠牲者の方々に対してお悔やみを申し上げたいと存じます。	On behalf of all the staff, I'd like to express our sympathy for the victims.
ある意味、その惨事の責任は彼にある。	In a sense, he is to blame for the disaster.
車両は欠陥がないか3ケ月に1度検査される。	The vehicles are inspected for defects every three months.
うちの光熱費がそんな額になっているのを知ってびっくりした。	I was amazed to see that our utility bills came to so much
｢水道の栓を閉めなさい！｣とお母さんがかんかんになって叫んだ。	Turn the faucet off! Mom yelled in a rage.
食べ物が腐らない様にふたをしっかり閉めなさい。	Tighten the lid so the food doesn't go bad.
｢ハサミを貸してもらえる？」「もちろん。はいどうぞ｡」	"Can I borrow your scissors? ""Sure, here you are."""
針と糸の代わりに透明な接着剤を使っても結構です｡	You can substitute some transparent glue for a needle and thread.
この織物を染めたら縮んでしまった。	I dyed this fabric and it shrank
この革のジャケットは処分するよ。両肘の部分がすり減って穴があいているから。	I'm getting rid of this leather jacket because it's worn out at the elbows.
その混ぜ合わせたものに小麦粉を加えて、とろみがつくまでかき混ぜましょう。	Add some flour to the mixture and stir it until it becomes thick.
「残り物をどうしよう？」 「とりあえず冷蔵庫に入れておいて。 後で電子レンジで温め直すよ。」	"What should we do with the leftovers? ""Keep them in the fridge for now. I'll heat them in the microwave later."""
新しいパソコンに全額つぎ込むこともできたが、考え直して、まさかの時のために多少は残しておくことにした。	I could have laid out all that money on a new PC, but on second thought I decided to put some aside for a rainy day.
携帯電話はちょっとした必需品になったことだし、それなしではやっていけない。	A cell phone has become something of a necessity, and I can't do without one.
イスにゆったり座ってくつろいだ途端、妻に雑用を頼まれた。	No sooner had I sat back and relaxed than my wife asked me to do the chores.
彼女は赤ちゃんを寝かせて自分も隣に横になった。	She laid the baby down and lay down beside him.
ここにある物を片付けなさい。邪魔よ。	Put this stuff away! It's in the way.
子供たちが恐竜ごっこをしていたら、お母さんに叱られた。	When the kids made believe they were dinosaurs, they were scolded by their mother.
彼が棚にぶつかり、とても高価な陶磁器が落ちて粉々に割れてしまった。	After he bumped into the shelf, the priceless china fell and shattered into fragments.
「うちの子たちをちょっと見ててもらえる？ケンを迎えに行かないといけないの｡」「いいよ｡」	"Can you keep an eye on my kids for a while? I need to pick up Ken. No problem."""
隣の家の人が庭をめちゃくちゃにされたと、私たちにがみがみ説教した。	Our neighbor told us off for making a mess in his yard.
ドリーはあらゆる面でお姉さんにそっくりだ。二人を見分けることはできないよ。	Dolly resembles her big sister in every way. You can't tell them apart.
慨して、双子には似たところが多い。	As a rule, twins have a lot in common.
皿洗いとか洗濯とか、そういうことにはもううんざり！	I'm tired of doing the dishes, doing the laundry, and so on!
時間があいたときの一番の楽しみは浜辺の散歩です。気持ちいいですよ。	My favorite pastime is strolling along the shore. It's pleasant.
「私、もうくたくた。日陰で休憩しましょう｡」「そうだね｡」	"I'm exhausted! Let's take a break in the shade. ""Why not?"""
「ボブ、この自動販売機、故障してるわ｡」「何だって！喉が乾いて死にそうだよ！」	"Bob, this vending machine is out of order. ""Oh no! I'm dying of thirst!"""
彼は空腹と疲労で気を失ったが、しばらくして意識を取り戻した。	He fainted with hunger and fatigue, but came to after a while.
たった一つの家具を除けば、講堂はがらんどうだった。	The auditorium was empty except for a single piece of furniture.
家賃が安ければ、どんなマンションでも構いません。こだわりはありませんから。	Any apartment will do as long as the rent is low. I'm not particular about it.
彼の60歳のいとこが湖畔の不動産を相続した。	His sixty-year-old cousin inherited a piece of real estate by a lake.
雑談はこの辺にして、本題に入りましょう。	So much for small talk. Let's get down to business.
ルーシーは、契約書にサインさせようとする強引な販売員に腹を立てた。	Lucy resented the aggressive salesman trying to make her sign the contract.
私たちの株式投資への意欲をそぐような要因がかなりある。	There are a number of factors discouraging us from investing in stocks.
日本は様々な原料を輸入し、工業製品を輸出している。	Japan imports various raw materials and exports manufactured goods.
経済発展の過程で、日本はその伝統的価値観を捨ててきた。	In the course of its economic development, Japan has abandoned its traditional values.
世界はかつてない危機に直面している。	The world is faced with an unprecedented crisis.
要するに、その規制の目的は国内産業の保護だ。	In short, the purpose of the regulations is to protect domestic industries.
世界での競争力を維持するためには、日本は大幅な規制緩和に真剣に着手しなければならない。	In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest.
危機にさらされ、わらにもすがる思いでいる人々を、私たちは放っておけない。	We cannot turn our backs on desperate people who are at risk.
議会は発展途上国に財政援助を行うことを決議した。	The parliament decided to provide developing countries with financial aid.
英国の君主制は廃止されるべきだと言う人もいるけど、あなたはどう思う？	"Some say the British monarchy should be abolished. What do you think?"""
彼らは攻撃を逃れる安全な場所を探したが、隠れる場所はどこにもなかった。	They sought shelter from the attack but found no place to hide.
軍縮において、両国が大きな進展を遂げる見込みはほとんどない。	There's little prospect that the two countries will make significant progress in disarmament.
交渉は進行中だ。そろそろ正念場を迎えるだろう。	The negotiations are under way. Before long, they will enter a crucial phase.
奴隷たちは自分たちの運命を変えたいと切望していた。	The slaves were anxious to alter their destinies.
貴族たちは思うがままに特権を乱用した。	The aristocrats abused their privileges to their hearts' content.
結局、革命それ自体は何の成果ももたらさなかった。	The revolution in itself, bore no fruit, after all.
ボブが「それには反対だ！」と言って会話に割り込んできた。けれども、誰も耳を貸さなかった。	"Bob cut in on our conversation, saying, ""I'm against it!"" But everybody ignored him."
私たちは彼の順番をわざと飛ばした。	We skipped his turn on purpose.
誰かがいじめられているのを見たのに、彼は見ないふりをした。	He saw someone being bullied, but he turned a blind eye.
ニックと僕がテストでカンニングしたとき、僕は停学処分。ニックの方はまんまと逃れた。	When Nick and I cheated on an exam, I was suspended from school. As for Nick, he got away with it.
彼らはリチャードの富と地位に対する嫉妬から、彼に敵意を抱いている。	They are hostile to Richard because they are jealous of his wealth and status.
彼のことは大嫌い。まるで自分が大物であるかのように振る舞うのよ。	I hate him! He behaves as if he were somebody.
僕たちがほめ言葉をかけたのに、彼は顔をしかめてそっぽを向いた。失礼だ！	In spite of our compliments, he frowned and turned away. He was so rude!
その莫大な財産は自分が自由にできるものだ、と彼は主張した。	He claimed that the enormous property was at his disposal.
頑固になればなるほど孤立するよ。	The more stubborn you are, the more isolated you become.
「遠回しな言い方はやめてくれ！僕にどうしろって言うんだ？」 「慌てずに待つしかありません。時が経てばわかります。」	"Don't beat around the bush! What am I supposed to do? ""Just wait and see. Time will tell."""
課題は電子メールで6月10日の午後5時までに提出して下さい。	Please hand in your assignment via e-mail no later than 5:00 PM on June 10.
ジョーが勤勉なんてとんでもない。だからまた数学を落としたんだ。	Joe is anything but diligent. That's why he flunked math again.
彼の論文は意味不明。第一、主題が曖昧だ。	His thesis doesn't make sense. To begin with, its theme is obscure.
彼の小論文は簡潔で要領を得ていた。	His essay was concise and to the point.
「この複雑な問題をどう処理するつもり？｣ ｢任せとけって。朝飯前さ。」	"How are you going to deal with this complicated problem? ""Leave it to me! It's a piece of cake."""
「ニック、これを提出する前にざっと目を通して欲しいの。」 「ごめん、今、手が離せないんだ。」	"Nick, I want you to look this over before I turn it in. ""Sorry, but I have my hands full right now."""
「締め切りに間に合わなかったらどうなる？」 「きっと彼に怒られるぞ！」	"What if I don't meet the deadline? ""I bet he'll get mad at you!"""
字が汚いことを別にすれば、君の要約は完璧だ。	Your summary leaves nothing to be desired apart from the terrible handwriting.
その前提が妥当かどうかよく考えるべきだ。	You ought to think over whether the premise is valid or not.
とりわけ、科学用語には厳密な定義が要求される。	Above all, scientific terms call for precise definitions
何よりもまず、公式を暗記しなさい。	First of all, learn the formula by heart.
体積を計算する場合は、縦と横と深さを掛けます。	To calculate the volume, multiply the length by the width by the depth.
樽の底にとても小さなひびがあるのを見つけた。	Tiny cracks were found in the bottom of the barrel.
この章では幾何学の概念に焦点をあてます。	This chapter will focus on the concepts of geometry.
フィルは実用的な技能よりも学問的なテーマのほうに興味がある。	Phil is much more interested in academic subjects than in practical skills.
｢この顕微鏡、どこかおかしくなっちゃった。修理してもらわないと。」 「見せて。僕が直せるかも。」	"Something's gone wrong with this microscope. I need to have it repaired. ""Let me see it. Maybe I can fix it."""
「インストゥルメントって何ですか？」「例えば、温度計や気圧計とかの計器がそうです。」	"What is 'an instrument? ""For instance, a gauge, such as a thermometer or a barometer."""
その微粒子は肉眼でもかろうじて見える。	The minute particles are barely visible to the naked eye.
筋肉組織はおびただしい数の細胞から成っている。	Muscle tissue consists of a vast number of cells.
この物質は主に水素と酸素でできている。	This substance is mostly composed of hydrogen and oxygen.
正確な気温はセ氏22.68度です。	The exact temperature is 22.68 degrees Celsius.
「ナオミは自分の完璧なスタイルをひけらかしたがる。私も彼女みたいに痩せていればなあ。彼女が羨ましいわ。｣ ｢ダイエットすれば。」	"Naomi likes to show off her perfect figure. I wish I were thin like her. I envy her. ""You could go on a diet."""
ナオミに一目惚れした。３ケ月後、思い切って彼女にプロポーズしてみたが振られてしまった。	I fell in love with Naomi at first sight. Three months later, I took a chance and proposed to her, but she turned me down.
偶然その人に出会ったの。優しくて頭もいいの。おまけに独身！	I met the man by chance. He's gentle and smart. What's more, he's single!
彼の甥は、謙虚で思いやりのある人になるように育てられた。	His nephew was brought up to be modest and considerate.
私の両親にボブを紹介したら、二人ともすぐに彼のことが好きになった。	I introduced Bob to my folks, and they took to him at once.
人は外見ではなく、むしろ中身で判断されるべきだ。	People should be judged not so much by how they look as by who they are.
「大切なのは肩書きなんかじゃない。絶対そうだ！」と、ボブは語気を強めて言った。	It's not your title that counts. That's for sure! exclaimed Bob.
自分の力で成功をつかんだ人が言ったように、「先見の明のある人は最後には成功する」。	"As a self-made man put it, ""A man of vision will make good in the end."""
若さが永遠のものではないことを忘れてはいけない。	Keep in mind that youth is not eternal
いったいなぜみんながそれ程までにボブを軽蔑するのか、僕にはわからない。	I can't figure out why on earth everybody feels so much contempt for Bob!
彼のことを笑わずにはいられない。ばかな間違いを繰り返すからね。きっと彼は懲りないんだろうな。	I can't help laughing at him because he keeps on making stupid mistakes. He'd be the last person to learn his lesson.
さらに厄介なことに、彼は私たちに迷惑をかけていることさえわかっていない。	To make matters worse, he isn't even conscious of annoying us.
慌てていたから、手袋を間違えて裏返しにはめてしまった。	Since I was in a hurry, I put my gloves on inside out by mistake.
デイブはデブでドジ。浅い小川を飛び越えた時に、つまずいて足首を捻挫したんだ。	Dave is fat and clumsy. When he leaped over the shallow stream, he stumbled and twisted his ankle.
「僕、高所恐怖症なんだ。」 「弱虫っ！」	"I'm scared of heights. ""You're a coward!"""
消極的なその男性が、人前で自己表現をすることはまずない。	The passive man seldom, if ever, expresses himself in public.
迷信はすべて根拠のないものだということが、ニックに言われてよくわかった。	Nick convinced me that all superstitions are irrational.
注射のことを考えると、怖くて震えてしまう。	I tremble with fear at the thought of an injection.
ボブは根が怠け者だから、与えられた仕事をしばしば怠る。	Since Bob is lazy at heart, he frequently neglects his duties.
ボブが働いている間、ジェニファーは家でくだらないメロドラマに夢中になっていた。	While Bob was at work, Jennifer was at home absorbed in silly soap opera.
ボブはマンガ好きだけど、僕にはそれほどいいものとは思えない。実際、つまらないよ。	Bob likes cartoons, but I don't think much of them. As a matter of fact, they're boring
彼が私の目を見ようとしなかったので、何かを隠していると思った。	It occurred to me that he was holding something back, because he wouldn't look me in the eye.
彼女は我慢しきれなくなり、襟首をつかんで彼をののしった。	When her patience gave out, she grabbed his collar and swore at him.
確かに、私たちは時々口げんかもしますが、普段は仲良くやっています。	I must admit we quarrel every now and then, but generally we're on good terms with each other.
「君の家に寄ってもいいかい？」 「もちろんいいわよ。気兼ねなく！」	"Do you mind if I stop by your house? ""No, not at all. Be my guest!"""
ちょっと待ってて。すぐ戻るから。切らないでよ！（電話で）	Hold on. I'll be right back. Don't hang up!
うちには泊められないわ。一つには、時々お父さんがふらっとやって来るから。	I can't put you up. For one thing, my dad drops in on me from time to time.
ジェニファーがじっと立っている間、ボブは歩道を行ったり来たりしていた。	While Jennifer was standing still, Bob was pacing back and forth along the sidewalk.
「仲直りしようよ、リサ。」 「私がいて当然だなんて思わないで。私たち、今度は永遠に終わりよ。本気なんだから！」	"Let's make up, Lisa. ""Stop taking me for granted! We're through for good this time. I mean it!"""
おい！リサ、そう感情的になるなよ。君を傷つけるつもりじゃなかったんだ。じっくり話し合おう。	Come on! Don't get so emotional, Lisa. I didn't mean to hurt you. Let's talk it over.
「私を裏切ったわね！」 「許してくれよ。どうしたら埋め合わせができるかなあ？」 「仕返ししてやるっ！」	"You betrayed me! ""Please forgive me. How can I make it up to you?"" ""I'll get even!"""
自分の罪は隠しておかずに告白したほうがいい。	You should confess your sins rather than conceal them.
約束は守りなさい。そうしないと評判を落としますよ。	Keep your word; otherwise you'll end up losing face.
ボブは自分の道徳的信条を曲げない男だ。正直でいれば最後には報われると信じている。	Bob sticks to his moral principles and believes that honesty pays off in the long run.
「元気を出して。仕方ないわ。」 「やれるだけのことはやったんだ。」 「わかってる。過ぎたことにくよくよしないで。やり直せるわよ！」	"Cheer up! You couldn't help it. ""I did my best."" ""I know. Don't dwell on the past. You can start over!"
「ジェーン、タイムズ・スクェアーまで乗せて行って欲しいんだけど。」 「そうしてあげたいのは山々だけど。今、全然時間がないの。」	"Jane, please do me a favor and give me a ride to Times Square. ""I wish I could, but I'm tied up right now."""
いつものように、マイクは時間通りに現れた。本当に時間に正確な人だ。」	As usual, Mike turned up on time. He's very punctual.
この前、混雑した幹線道路の真ん中でガス欠してしまった。	The other day I ran out of gas in the middle of a busy Interstate.
私の前を走っていたトラックがスリップして横転し、積み荷を路面いっぱいに散乱させた。	A truck driving ahead of me skidded, turned over, and scattered its load all over the road.
衝突を避けられたのは運が良かっただけ、と彼は回想した。	He recalled that a collision had been avoided by sheer luck.
緊急の際には、すぐに私の代理人と連絡を取って下さい。	In case of an emergency, get in touch with my agent right away.
「ジェーン、俺たちはどこに向かってるんだ？」 「迷ったみたい。違う方向に来ちゃったわ。」 「何だよ。車を止めてくれ！」	"Jane, where are we heading? ""I think we're lost. We went in the wrong direction."" ""Damn! Pull over!"""
僕のさびついたフォードが故障して、交差点をふさいでしまった。	My rusty Ford broke down, obstructing the intersection.
表面に細かい傷やへこみがたくさんあるから、磨いても無駄だよ。	There are so many fine scratches and dents on its surface, it's no use polishing it.
「おい、渋滞にはまっちゃったよ！」 「熱くならないで、ジョー。近道しましょう。時間までには着けるわ。」	"Hey, we're stuck in a traffic jam! ""Chill out, Joe. Let's take a shortcut! We'll get there in time."""
「パンクしちゃったよ。手を貸してくれる？」 「喜んで。」	"I've got a flat tire. Can you give me a hand? ""I'd be glad to."""
ハンドルがきかなくなった救急車が、危うく歩行者をひきそうになった。	The ambulance went out of control and came close to running over a pedestrian.
火星にはかつて原始的な生物が存在していたと彼は力説している。	He contends that primitive life once existed on Mars.
乗組員たちは宇宙への航海の準備に忙しい。	The crew is busy preparing for the voyage into outer space.
彼らは無重力状態で一連の実験をおこなった。	They conducted a series of experiments under zero gravity.
多くの天文学者は、宇宙は無限に膨張を続けていくものと考えている。	Many astronomers assume that the universe will expand infinitely.
宇宙飛行士たちは自然と沸き起こった拍手で迎えられた。	The astronauts were greeted with spontaneous applause.
滅亡の危機に瀕した地球を守ろうと、ある基金が設立された。	A fund was set up with a view to preserving our endangered planet.
大洪水で現地の交通網が麻痺した。	The massive flood paralyzed the local transportation network.
赤道は地球を二つの半球に分ける。	The equator divides the globe into two hemispheres.
毛皮のコートのために動物を罠で捕獲するのは残酷なことだ。	I think it's cruel to trap animals for fur coats.
その団体は野生動物の保護において、最も重要な役割を果たしている。	The organization plays a principal role in wildlife conservation.
多くの弱い生物種が絶滅の危機に瀕している。	Many fragile species are on the verge of extinction.
長引く干ばつが収穫に甚大な被害をもたらした。	The prolonged drought did severe damage to the crops.
熱帯雨林の消滅が地球規模で急速に進んでいます。その原因の一つは酸性雨です。	Tropical rain forests are quickly disappearing on a global scale. In part, it's due to acid rain.
地球温暖化は、二酸化炭素の排出と直接の関係があると言われている。	It is said that global warming is directly related to carbon dioxide emissions.
オゾン層の破壊は環境に影響を及ぼす。	The destruction of the ozone layer affects the environment.
委員会は、大気汚染を抑制するために互いに協力し合うよう各国に要請した。	The committee called on all nations to work side by side to curb air pollution.
溶け続ける氷河を監視するために、人工衛星が軌道に打ち上げられた。	A satellite was launched into orbit to monitor melting glaciers.
石油は天の恵みであると同時に災いのもとであると、その生態学者は我々に繰り返し警告してきた。	The ecologist has warned us time and again that petroleum is not only a blessing but also a curse.
その大陸は化石燃料が豊富だ。	The continent is abundant in fossil fuels.
その地域は鉱物資源が比較的豊かだ。	The region is relatively rich in mineral resources.
小麦はこの地域の農業生産高のおよそ3分の2を占めている。	Wheat accounts for approximately two-thirds of agricultural production in the area.
良い収穫を得るためには、肥沃な土壌が不可欠だ。	Fertile soil is indispensable for a good harvest.
