*	name	瞬間英作文おかわり2-01to10
*	media-dir	0
*	description	0
*	notes	0
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
彼女が立ち上がった時、テーブルのすべ他の男性が立ち上がった。	When she stood up, all the men at the table stood up.
パリに行く時、私はいつもそのホテルに泊まります。	When I go to Paris, I always stay at that hotel.
彼女はとても幸せそうだ。	She looks very happy.
信号が青になった。	The traffic lights turned green.
ボブは背が高くなった。	Bob became tall.
その男性は青ざめたのですか? はい、そうです。	Did the man go pale? Yes, he did.
なぜ彼は怒ったのですか?	Why did he get angry?
これは酸っぱい味がするの? いや、違うよ	Does this taste sour? No, it doesn't.
このコーヒーはよい香りがする。	This coffee smells good.
暖かくなってきています。	It is getting warm.
そのステーキはとてもおいしかった。	The steak tasted very good.
彼の息子は医師になりました	His son became a doctor.
兄が僕にこの本をくれました。	My brother gave this book to me.
彼はその猫にミルクをやった。	He gave some milk to the cat.
君は彼に何と言ったの?	What did you say to him?
誰が君にそれをくれたの?	Who gave it to you?
トムは彼女に手紙を書きましたか? はい、書きました。	Did Tom write a letter to her? Yes, he did.
お祖父さんが僕に古い切手をくれた。	My grandfather gave an old stamp to me.
彼は妻のために何でもする。	He does anything for his wife.
彼は家族のために家を買いました。	He bought a house for his family.
彼女は子供たちのためにケーキを焼いた。	She baked a cake for her children.
その作家は子供たちのためにその物語を書きました。	The writer wrote the story for children.
姉が僕にギターをくれた。	My sister gave me a guitar.
夫は私の誕生日にすてきなプレゼントをくれます。	My husband gives me a nice present on my birthday.
その老人は僕たちに面白いもの(面白い何か)を見せてくれました。	The old man showed us something interesting.
あなたは彼らに真実を教えたのですか? はい、そうです。	DId you tell them the truth? Yes, I did.
彼女は君に何を言ったの? 秘密だよ。	What did she tell you? It's a secret.
なぜあなたは彼にお金を与えたのですか?	Why did you give him money?
その本を僕に貸して下さい。	Please lend me the book.
彼女はその素晴らしいドレスを私たちに見せた。	She showed us a wonderful dress.
おじさんが僕に3千円くれた。	My uncle gave me three thousand yen.
彼女は彼に何を貸したのですか?	What did she lend him?
私は将来作家になります。	I will be a writer in the future.
僕は、今夜飲まないよ。	I won't drink tonight.
我々があなたのお手伝いをしますよ。	We will help you.
私たちは決して彼のことを忘れません。	We will never forget him.
今度ロンドンを訪れるときは、私はあのホテルに泊まります。	When I visit London next time, I will stay at that hotel.
明日東京は晴れるでしょう。	It will be sunny in Tokyo tomorrow.
彼女はよい母親になるでしょう。	She will be a good mother.
パーティーはもうすぐ始まりますか?	Will the party begin soon?
彼らはいつ大阪に引っ越すのですか?	When will they move to Osaka?
何人の人がここに今週滞在しますか?	How many people will stay here this week?
この部屋を掃除してくれますか? いいですよ。	Will you please clean up this room? All right.
宿題を手伝ってくれるかい? いいとも。	Will you please help me with my homework? Sure.
私をそこに連れて行ってくれる? いいよ。	Will you take me there, please? Sure.
水を1杯持ってきてくれますか? かしこまりました。	Will you bring me a glass of water, please? Certainly.
今日は僕が夕食を料理しようか? お願いするわ。	Shall I cook dinner today? Yes, please.
ドアを閉めましょうか?	Shall I close the door?
みんなのために僕が歌を1曲歌おうか? 結構だよ。	Shall I sing a song for everyone? No, thank you.
ジャズを聴こうか? うん、そうしよう。	Shall we listen to jazz? Yes, let's.
放課後にサッカーをしようか いいよ。	Shall we play soccor after school? ALl right.
あのレストランでディナーを食べようか? うん、そうしようか。	Shall we have dinner at that restaurant? Yes, let's.
私はきょう家で家族と夕食を食べる予定です。	I am going to have dinner with my family at home today.
私たちはその町に数日滞在する予定です。	We are going to stay in the town for a few days.
彼らは今秋結婚する予定です。	They are going to get married this autumn.
君は今晩彼女を車で拾うつもりなの? そうだよ。	Are you going to pick up her tonight? Yes, I am.
トムはきょうの午後宿題をするつもりだった。	Tom was going to do his homework this afternoon.
彼女は彼らを夕食に招待するつもりだった。	She was going to invite them to dinner.
どこでそのチケット(複数)を買うつもりですか?	Where are you going to buy the tickets?
ボブとエミリーは来月ハワイに行く予定です。	Bob and Emily are going to Hawaii next month.
あなた方は夕食に何を食べる予定ですか? 日本料理を食べる予定です。	What are you going to have for dinner? We are going to have Japanese food.
彼は何カ国訪れる予定ですか?	How many countries is he going to visit?
君は静かにしなくてはならない。	You must be quiet.
僕は寝ていなければならないの? そうだよ。	Must I stay in bed? Yes, you must.
あなたはここでは英語を話さなくてはなりません。	You must speak English here.
その少女は兄弟姉妹たちの世話をしなくてはならない。	The girl must take care of her brothers and sisters.
この川で泳いではいけません。	You must not swim in this river.
この本を読んでもいいですか? いいですよ。	May I read this book? Yes, you may.
お前は私と一緒に来てもいいよ。	You may come with me.
この箱を開けてもいいですか? いいえ、いけません。	May I open this box? No, you may not.
お前たちはこの村で暮らしてもよい。	You may live in this village.
次回は友だち(複)を連れてきもいいですか? はい、いいですよ。	May I bring my friends next time? Yes, you may.
