*	name	GSL04
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
popular	"人気のある
 大衆向けの"
weight	重さ
pipe	管
salary	"給料
 月給"
skirt	スカート
nose	鼻
discover	を発見する
after	"*のあとに*(で)
 
 (｢のあとに｣は after:過去､ in:未来)
 (afterは追求や模倣もある)
 (The dog ran after the fox.)
 (He was named after his uncle.)
 (成句：after all 結局、
 After you. お先にどうぞ)"
top	"頂上・上部(the top)
 こま(異義語)
 
 (We went up to the top of the hill.)"
shine	"輝く
 を照らす
 （輝き）
 
 (shine, shone, shone)"
friend	友人
appear	"現れる
 見える"
gather	"を集める
 集まる"
sow	"たねを撒く
 (sow, sowed, sown)
 
 (同音語sew :縫う)"
remark	"(簡単な)批評･意見
 言う
 意見を述べる"
nursery	託児所
politics	"政治
 （政策､政見）
 （政治学）"
fortune	"運
 富
 幸運"
berry	ベリー(果実)
calculation	計算
lonely	孤独な
insect	"*昆虫*
 
 (虫にあたる英語はない)
 (はう虫やﾐﾐｽﾞは warm)"
package	包み
product	産物、製品
play	"をする
 演奏する
 遊ぶ"
cause	"原因 
 の原因となる"
season	"季節
 ある特定時期"
review	"復習
 （批評、回顧）
 (米)を復習する"
fish	"魚
 （単複同形 fish）
 （種類は fishes）"
lay	"*を横にする*､*を置く*(*他動詞*)
 ( lay, laid, laid )
 （layは そっと水平に置く 意あり）
 （She laid the baby on the bed.）
 
 （重要注意）
 （自動詞 lie 横たわる 
 とまちがいやすい）"
taxi	タクシー
particular	特定の
struggle	"*苦闘する*､*もがく*
 *苦闘*
 
 (He struggled against cancer for two years.)
 (I struggled and screamed for help.)"
soon	"すぐ
 早く
 間もなく"
description	"記述
 描写"
"railroad
 (英 railway）"	(米)鉄道
excuse	"*を許す*
 *言い訳*
 
 (Excuse me, but could you tell me the way to the station?)"
destructive	破壊的な
rank	"階級
 位置する"
star	星
businesslike	"能率的な
 
 (日本語と異なり 
 ほめる時の用語)"
market	"市場
 （需要）"
representative	"代表者
 （代理人）"
pull	"を引く
 引っ張る(こと)"
"flour
 (発音 'flauә(r))"	"小麦粉
 
 （同音異義語）
 （flower 花）"
pile	"(を)積む
 積み重ねた物"
arch	アーチ
suspect	"を怪しいと思う
 
 （名詞は発音注意）
 （ ['sʌs-pekt] ）
 容疑者"
slip	"滑る
 を滑らせる
 あやまち
 しょうへん(小片)"
support	"を支える
 を養う
 を支持する
 支え"
whole	全体の
stock	"（原義：幹､切り株）
 （基本義：蓄え）
 *在庫品*
 *貯*蔵
 *株式*
 (木の幹､接木の台木)"
annoy	"をいらいらさせる
 
 (OALD辞書：to make somebody slightly angry )"
disturb	の邪魔する
cup	カップ
clay	粘土
charm	"魅力
 を魅了する"
sometimes	ときどき
generous	気前のよい
well	"*よく*(上手に､十分に)
 *健康で*
 （*ええと*：間投詞）
 
 *井*戸(異義語)"
bridge	橋
poison	"毒
 に毒を入れる"
amount	"*積算した金*
 （a larage amount of money）
 *積算した量*
 （a small amount of water）
 *総額* （the amount）
 *総計*・・*になる*(amount to)"
name	"名前
 を名づける"
omit	"を省略する
 （を抜かす）"
up	上に
laughter	"笑い
 笑い声"
tobacco	タバコ
father	父親
ownership	所有権
actor	俳優*､*男優
lack	"不足
 を欠く"
hate	"を憎む
 嫌悪"
practice	"練習(けいこ) 
 習慣
 実行
 (を)練習する"
industry	"産業
 （工業）
 （勤勉）"
introduce	"を紹介する
 を導入する"
science	科学､理科
fancy	"空想(力)
 を空想する"
