*	name	GSL02
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	max-new-cards	200
*	max-cards-in-round	200
*	card-theme	Chalkboard - Clear 2
*	tsv	true
*	deck-stats-1	2044,2044,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2
must	"・・しなければならない
 ・・にちがいない
 
 (助動詞 過去形なし)
 (文法･辞書を必読)
 (義務・推量・勧誘 など)
 (義務のmustは強制に近い。
 かわりに have to がふつう)"
cousin	いとこ
health	健康
table	"テーブル
 表"
meat	"食用の肉
 
 (不可算､種類は可算)
 (a piece of meat )"
civilize	を文明化する
essential	"不可欠の
 本質的な"
pigeon	"鳩
 
 (米pigeon飼鳩 dove野鳩)
 （英 どちらも用いる）
 （平和の象徴は dove）"
far	"遠くに
 遠い"
weigh	"の重さを量る
 の重さがある"
effect	"結果
 影響､効果
 (結果として・をもたらす)
 
 （cause and effect）
 （原因と結果）"
enough	"必要なだけ
 十分(な)
 
 (He is not old enough to drive.)"
pad	詰め物
immense	巨大な
system	"組織
 制度
 体系"
vessel	"容器
 管
 大型船"
passenger	"乗客
 
 (乗務員:crew)"
press	"を押す
 押しつける
 新聞､雑誌(the press)
 報道陣(the Press)
 
 （押し付ける→印刷機
 →印刷物→新聞・雑誌
 →報道陣 と派生)"
tidy	"きちんとした
 きれい好きな
 をきちんとする
 整理する
 整理箱"
stiff	堅い
tower	塔
hit	"を打つ
 にぶつかる
 
 (hit, hit, hit)"
insult	"を侮辱する
 
 （名詞 侮辱は
 発音 ['in-sʌlt] ）"
angry	怒った
signature	署名
river	川
before	"・・より以前に
 (before はある基点より前､
 過去でも未来でも使える｡
 agoは現時点が基準｡）
 
 (I had never been inside a theater before.それまで)
 (I'll call you before you leave.電話)"
weave	"を織る
 
 (weave, wove, woven)"
shall	"・・しましょうか
 （最も普通の用法）
 (だろう､させる､必ずする
 などは 用法が難しい)
 
 (助動詞：文法・辞書を必読)
 (提案・申し出がふつう）
 (決意・意志・予測はイギリス用法)"
theatrical	"劇場の
 演劇の"
